銘柄コード,銘柄名,信用区分,新規売建可能数量(在庫株数量)(株(口)),プレミアム料(1株あたり)
1579,日経平均ブル２倍上場投信,デイトレ,19650,0.00
157A,グリーンモンスター,デイトレ,800,0.66
1580,日経平均ベア上場投信,デイトレ,226530,0.00
1585,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸ　Ｅｘ－Ｆｉｎａｎｃｉａｌｓ,デイトレ,30,0.00
1591,ＮＥＸＴ　ＦＵＮＤＳ　ＪＰＸ日経インデックス４００連動型上場投信,デイトレ,122,0.00
1592,上場インデックスファンドＪＰＸ日経インデックス４００,デイトレ,810,0.00
1593,ＭＡＸＩＳ　ＪＰＸ日経インデックス４００上場投信,デイトレ,873,0.00
1595,ＮＺＡＭ　上場投信　東証ＲＥＩＴ指数,デイトレ,475,0.00
1597,ＭＡＸＩＳ　Ｊリート上場投信,デイトレ,20364,0.00
159A,ＮＥＸＴ　ＦＵＮＤＳ　ＪＰＸプライム１５０指数連動型上場投信,デイトレ,200,1.30
1605,ＩＮＰＥＸ,デイトレ,49500,0.00
1605,ＩＮＰＥＸ,長期,136900,
1615,ＮＥＸＴ　ＦＵＮＤＳ　東証銀行業株価指数連動型上場投信,デイトレ,73440,0.00
1618,ＮＥＸＴ　ＦＵＮＤＳ　エネルギー資源（ＴＯＰＩＸ－１７）上場投信,デイトレ,70,0.00
1619,ＮＥＸＴ　ＦＵＮＤＳ　建設・資材（ＴＯＰＩＸ－１７）上場投信,デイトレ,11,0.00
1621,ＮＥＸＴ　ＦＵＮＤＳ　医薬品（ＴＯＰＩＸ－１７）上場投信,デイトレ,26,0.00
1622,ＮＥＸＴ　ＦＵＮＤＳ　自動車・輸送機（ＴＯＰＩＸ－１７）上場投信,デイトレ,193,0.00
1624,ＮＥＸＴ　ＦＵＮＤＳ　機械（ＴＯＰＩＸ－１７）上場投信,デイトレ,17,0.00
1626,ＮＥＸＴ　ＦＵＮＤＳ　情報通信・サービスその他（ＴＯＰＩＸ－１７）上場投信,デイトレ,63,0.00
1627,ＮＥＸＴ　ＦＵＮＤＳ　電力・ガス（ＴＯＰＩＸ－１７）上場投信,デイトレ,67,0.00
1628,ＮＥＸＴ　ＦＵＮＤＳ　運輸・物流（ＴＯＰＩＸ－１７）上場投信,デイトレ,22,0.00
162A,ＡＩ　セレクトメガトレンド　日本株（ネットリターン）ＥＴＮ,デイトレ,4,0.00
1632,ＮＥＸＴ　ＦＵＮＤＳ　金融（除く銀行）（ＴＯＰＩＸ－１７）上場投信,デイトレ,1,0.00
163A,半導体フォーカス日本株（ネットリターン）ＥＴＮ,デイトレ,69,24.00
1651,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸ高配当４０指数,デイトレ,4354,0.00
1655,ｉシェアーズ　Ｓ＆Ｐ　５００　米国株　ＥＴＦ,デイトレ,190490,0.00
1656,ｉシェアーズ・コア　米国債７－１０年　ＥＴＦ,デイトレ,2030,0.00
1657,ｉシェアーズ・コア　ＭＳＣＩ　先進国株（除く日本）ＥＴＦ,デイトレ,1182,0.00
1658,ｉシェアーズ・コア　ＭＳＣＩ　新興国株　ＥＴＦ,デイトレ,1629,0.00
1659,ｉシェアーズ　米国リート　ＥＴＦ,デイトレ,558,0.00
1660,ＭＡＸＩＳ高利回りＪリート上場投信,デイトレ,1135,0.00
1662,石油資源開発,デイトレ,24000,0.00
1662,石油資源開発,長期,1020300,
1663,Ｋ＆Ｏエナジーグループ,デイトレ,10300,0.00
1663,Ｋ＆Ｏエナジーグループ,長期,70200,
166A,タスキホールディングス,デイトレ,20600,0.00
1677,上場インデックスファンド海外債券（ＦＴＳＥ　ＷＧＢＩ）毎月分配型,デイトレ,90,74.10
1678,ＮＥＸＴ　ＦＵＮＤＳ　インド株式指数・Ｎｉｆｔｙ５０連動型上場投信,デイトレ,168680,0.00
167A,リョーサン菱洋ホールディングス,デイトレ,6300,0.00
167A,リョーサン菱洋ホールディングス,長期,64600,
1680,上場インデックスファンド海外先進国株式（ＭＳＣＩ－ＫＯＫＵＳＡＩ）,デイトレ,318,0.00
1681,上場インデックスファンド海外新興国株式（ＭＳＣＩエマージング）,デイトレ,5244,0.00
168A,イタミアート,デイトレ,2200,1.30
1698,上場インデックスファンド日本高配当（東証配当フォーカス１００）,デイトレ,944,0.00
1711,ＳＤＳホールディングス,デイトレ,10800,0.90
1716,第一カッター興業,デイトレ,400,0.00
1717,明豊ファシリティワークス,デイトレ,2100,1.30
1718,美樹工業,デイトレ,200,9.27
1719,安藤・間,デイトレ,17900,0.00
1719,安藤・間,長期,862900,
1720,東急建設,デイトレ,6100,0.00
1720,東急建設,長期,366600,
1721,コムシスホールディングス,デイトレ,600,0.00
1721,コムシスホールディングス,長期,5200,
1723,日本電技,デイトレ,6800,1.80
1723,日本電技,長期,24100,0.20
1724,シンクレイヤ,デイトレ,2700,0.90
1736,オーテック,デイトレ,700,0.00
173A,ハンモック,デイトレ,300,1.30
1758,太洋基礎工業,デイトレ,300,2.20
175A,Ｗｉｌｌ　Ｓｍａｒｔ,デイトレ,300,0.42
1762,高松コンストラクショングループ,デイトレ,700,0.00
1762,高松コンストラクショングループ,長期,72900,
1766,東建コーポレーション,デイトレ,100,0.00
1766,東建コーポレーション,長期,13000,
1768,ソネック,デイトレ,600,0.00
1777,川崎設備工業,デイトレ,1300,0.00
177A,コージンバイオ,デイトレ,2800,1.30
1780,ヤマウラ,デイトレ,6900,0.00
1786,オリエンタル白石,デイトレ,104600,0.00
1786,オリエンタル白石,長期,144500,
178A,グローバルＸ　革新的優良企業　ＥＴＦ,デイトレ,446,0.00
1795,マサル,デイトレ,100,7.41
1799,第一建設工業,デイトレ,900,0.00
179A,グローバルＸ　超長期米国債　ＥＴＦ　（為替ヘッジあり）,デイトレ,220,0.00
1801,大成建設,デイトレ,9700,0.00
1801,大成建設,長期,231300,
1802,大林組,デイトレ,14300,0.00
1802,大林組,長期,93400,
1803,清水建設,デイトレ,44100,0.00
1803,清水建設,長期,1280600,
1808,長谷工コーポレーション,デイトレ,13400,0.00
1808,長谷工コーポレーション,長期,24700,
1810,松井建設,デイトレ,1000,0.00
1812,鹿島建設,デイトレ,27000,0.00
1812,鹿島建設,長期,560900,
1813,不動テトラ,デイトレ,12700,0.00
1813,不動テトラ,長期,18000,0.24
1814,大末建設,デイトレ,2500,0.00
1815,鉄建建設,デイトレ,2500,0.00
1815,鉄建建設,長期,15800,
181A,ＭＡＸＩＳ米国国債１－３年上場投信（為替ヘッジなし）,デイトレ,130,1.30
1820,西松建設,デイトレ,2100,0.00
1820,西松建設,長期,165800,
1822,大豊建設,デイトレ,6500,0.00
1822,大豊建設,長期,5200,0.07
1826,佐田建設,デイトレ,1900,0.00
1828,田辺工業,デイトレ,1700,2.60
1833,奥村組,デイトレ,27000,0.00
1833,奥村組,長期,151400,
1835,東鉄工業,デイトレ,1100,0.00
1835,東鉄工業,長期,95700,
1840,土屋ホールディングス,デイトレ,5700,0.24
1847,イチケン,デイトレ,1400,3.90
1848,富士ピー・エス,デイトレ,3400,0.00
1850,南海辰村建設,デイトレ,17900,0.39
1852,淺沼組,デイトレ,6500,0.00
1852,淺沼組,長期,172600,
1853,森組,デイトレ,7300,0.90
1860,戸田建設,デイトレ,5100,0.00
1860,戸田建設,長期,1603500,
1861,熊谷組,デイトレ,31200,0.00
1861,熊谷組,長期,1399800,
1867,植木組,デイトレ,300,0.00
186A,アストロスケールホールディングス,デイトレ,193200,0.00
1870,矢作建設工業,デイトレ,4700,0.00
1870,矢作建設工業,長期,86900,0.09
1871,ピーエス・コンストラクション,デイトレ,4400,0.00
1873,日本ハウスホールディングス,デイトレ,10900,0.90
1878,大東建託,デイトレ,1800,0.00
1878,大東建託,長期,1007200,
1879,新日本建設,デイトレ,6900,0.00
1879,新日本建設,長期,残数量なし,0.11
1882,東亜道路工業,デイトレ,79700,0.00
1882,東亜道路工業,長期,37800,
1885,東亜建設工業,デイトレ,9000,0.00
1885,東亜建設工業,長期,9700,
1887,日本国土開発,デイトレ,9600,0.00
1887,日本国土開発,長期,8000,0.05
1888,若築建設,デイトレ,9500,0.00
1888,若築建設,長期,900,0.14
188A,グローバルＸ　インド・トップ１０＋　ＥＴＦ,デイトレ,296,2.00
1893,五洋建設,デイトレ,75800,0.00
1893,五洋建設,長期,1978500,
1897,金下建設,デイトレ,100,0.00
1898,世紀東急工業,デイトレ,8600,0.00
1898,世紀東急工業,長期,29600,0.12
1899,福田組,デイトレ,100,0.00
1899,福田組,長期,19500,
189A,Ｄ＆Ｍカンパニー,デイトレ,1700,1.30
1904,大成温調,デイトレ,900,0.00
190A,Ｃｈｏｒｄｉａ　Ｔｈｅｒａｐｅｕｔｉｃｓ,デイトレ,2400,0.69
1911,住友林業,デイトレ,79900,0.00
1911,住友林業,長期,2044000,
1914,日本基礎技術,デイトレ,3700,0.00
1921,巴コーポレーション,デイトレ,300,0.00
1925,大和ハウス工業,デイトレ,20400,0.00
1925,大和ハウス工業,長期,696300,
1926,ライト工業,デイトレ,2500,0.00
1926,ライト工業,長期,237500,
1928,積水ハウス,デイトレ,135500,0.00
1928,積水ハウス,長期,23800,
1929,日特建設,デイトレ,5500,0.00
1930,北陸電気工事,デイトレ,2300,0.00
1930,北陸電気工事,長期,1600,0.11
1934,ユアテック,デイトレ,3300,0.00
1934,ユアテック,長期,209600,
1938,日本リーテック,デイトレ,1500,1.80
1938,日本リーテック,長期,17400,0.21
1939,四電工,デイトレ,2100,0.00
1939,四電工,長期,63100,0.16
1941,中電工,デイトレ,1300,0.00
1941,中電工,長期,112500,
1942,関電工,デイトレ,7600,0.00
1942,関電工,長期,516200,
1944,きんでん,デイトレ,4100,0.00
1944,きんでん,長期,432300,
1945,東京エネシス,デイトレ,10100,0.00
1945,東京エネシス,長期,32600,0.12
1946,トーエネック,デイトレ,1700,0.00
1946,トーエネック,長期,177700,0.12
194A,ＷＯＬＶＥＳ　ＨＡＮＤ,デイトレ,3900,0.53
1950,日本電設工業,デイトレ,2700,0.00
1950,日本電設工業,長期,250500,
1951,エクシオグループ,デイトレ,8200,0.00
1951,エクシオグループ,長期,1213500,
1952,新日本空調,デイトレ,7500,0.00
1952,新日本空調,長期,58200,
1959,クラフティア,デイトレ,1300,0.00
1959,クラフティア,長期,358900,
