約定日,銘柄,銘柄コード,市場,取引,期限,預り,課税,約定数量,約定単価,手数料/諸経費等,税額,受渡日,受渡金額/決済損益
2024/3/11,モスフードサービス,8153,--,株式現物買,--, 特定 ,--,1,3510,--,--,2024/3/13,3510
2024/3/13,広島ガス,9535,--,株式現物買,--, 特定 ,--,1,387,--,--,2024/3/15,387
2024/3/14,アルビス,7475,--,株式現物買,--, 特定 ,--,1,2673,--,--,2024/3/18,2673
2024/3/14,カナデン,8081,--,株式現物買,--, 一般 ,--,1,1501,--,--,2024/3/18,1501
2024/3/19,カナデン,8081,--,株式現物売,--, 一般 ,申告,1,1523,--,--,2024/3/22,1523
2024/3/19,アルコニックス,3036,--,株式現物買,--, 特定 ,--,1,1450,--,--,2024/3/22,1450
2024/3/19,フジシールインターナショナル,7864,--,株式現物買,--, 特定 ,--,1,1960,--,--,2024/3/22,1960
2024/3/19,カナデン,8081,--,株式現物買,--, 特定 ,--,1,1523,--,--,2024/3/22,1523
2024/3/19,リコーリース,8566,--,株式現物買,--, 特定 ,--,1,5400,--,--,2024/3/22,5400
2024/3/19,ゼンリン,9474,--,株式現物買,--, 特定 ,--,1,858,--,--,2024/3/22,858
2024/3/21,高松コンストラクショングループ,1762,--,株式現物買,--, 特定 ,--,1,2930,--,--,2024/3/25,2930
2024/3/21,ダイキョーニシカワ,4246,--,株式現物買,--, 特定 ,--,1,791,--,--,2024/3/25,791
2024/3/21,理研ビタミン,4526,--,株式現物買,--, 特定 ,--,1,2576,--,--,2024/3/25,2576
2024/3/21,小林洋行,8742,--,株式現物買,--, 特定 ,--,1,361,--,--,2024/3/25,361
2024/3/22,リコーリース,8566,--,株式現物売,--, 特定 ,申告,1,5550,--,--,2024/3/26,5550
2024/3/22,ｅＢＡＳＥ,3835,--,株式現物買,--, 特定 ,--,1,762,--,--,2024/3/26,762
2024/3/22,ユニプレス,5949,--,株式現物買,--, 特定 ,--,1,1197,--,--,2024/3/26,1197
2024/3/22,スクロール,8005,--,株式現物買,--, 特定 ,--,1,992,--,--,2024/3/26,992
2024/3/22,カナデン,8081,--,株式現物買,--, 特定 ,--,1,1555,--,--,2024/3/26,1555
