約定日,銘柄,銘柄コード,市場,取引,期限,預り,課税,約定数量,約定単価,手数料/諸経費等,税額,受渡日,受渡金額/決済損益
2024/12/27,シークス,7613,--,現渡,15日, 特定 ,申告,100,1153,147,--,2025/1/6,115153
2024/12/27,ビジョン,9416,--,現渡,15日, 特定 ,申告,300,1229,315,--,2025/1/6,368385
2024/12/27,東京都競馬,9672,--,現渡,15日, 特定 ,申告,100,4380,561,--,2025/1/6,437439
2024/12/30,日本マクドナルドホールディングス,2702,--,株式現物買,--, 特定 ,--,1,6190,--,--,2025/1/7,6190
2024/12/30,楽天グループ,4755,--,株式現物買,--, 特定 ,--,1,869,--,--,2025/1/7,869
2025/1/9,ダイドーグループホールディングス,2590,東証,株式現物買,--, 特定 ,--,200,3195,--,--,2025/1/14,639000
2025/1/9,ダイドーグループホールディングス,2590,東証,信用新規売,15日, 特定 ,--,200,3195,--,--,2025/1/14,--
2025/1/17,ダイドーグループホールディングス,2590,--,現渡,15日, 特定 ,申告,200,3195,546,--,2025/1/21,638454
2025/1/29,モロゾフ,2217,--,株式現物買,--, 特定 ,--,1,4775,--,--,2025/1/31,4775
2025/1/29,エイチーム,3662,東証,株式現物買,--, 特定 ,--,500,1000,--,--,2025/1/31,500000
2025/1/30,モロゾフ,2217,--,株式現物売,--, 特定 ,申告,2,1600,--,--,2025/2/3,3200
2025/1/30,モロゾフ,2217,--,株式現物売,--, 特定 ,申告,1,1592,--,--,2025/2/3,1592
2025/1/30,エイチーム,3662,東証,株式現物売,--, 特定 ,申告,500,954,--,--,2025/2/3,477000
2025/2/5,吉野家ホールディングス,9861,東証,株式現物買,--, 特定 ,--,200,2914,--,--,2025/2/7,582800
2025/2/5,吉野家ホールディングス,9861,東証,信用新規売,15日, 特定 ,--,200,2914,--,--,2025/2/7,--
2025/2/12,西松屋チェーン,7545,東証,株式現物買,--, 特定 ,--,100,2269,--,--,2025/2/14,226900
2025/2/12,西松屋チェーン,7545,東証,信用新規売,15日, 特定 ,--,100,2269,--,--,2025/2/14,--
2025/2/13,ユナイテッド・スーパーマーケット・ホールディングス,3222,東証,株式現物買,--, 特定 ,--,100,799,--,--,2025/2/17,79900
2025/2/13,ユナイテッド・スーパーマーケット・ホールディングス,3222,東証,信用新規売,15日, 特定 ,--,100,799,--,--,2025/2/17,--
2025/2/14,ラックランド,9612,東証,株式現物買,--, 特定 ,--,100,1834,--,--,2025/2/18,183400
2025/2/14,ラックランド,9612,東証,信用新規売,15日, 特定 ,--,100,1834,--,--,2025/2/18,--
2025/2/18,瑞光,6279,東証,株式現物買,--, 特定 ,--,100,1309,--,--,2025/2/20,130900
2025/2/18,オークワ,8217,東証,株式現物買,--, 特定 ,--,100,784,--,--,2025/2/20,78400
2025/2/18,しまむら,8227,東証,株式現物買,--, 特定 ,--,100,9142,--,--,2025/2/20,914200
2025/2/18,平和堂,8276,東証,株式現物買,--, 特定 ,--,300,2378,--,--,2025/2/20,713400
2025/2/18,瑞光,6279,東証,信用新規売,15日, 特定 ,--,100,1309,--,--,2025/2/20,--
2025/2/18,しまむら,8227,東証,信用新規売,15日, 特定 ,--,100,9142,--,--,2025/2/20,--
2025/2/18,平和堂,8276,東証,信用新規売,15日, 特定 ,--,100,2378,--,--,2025/2/20,--
2025/2/18,平和堂,8276,東証,信用新規売,15日, 特定 ,--,100,2378,--,--,2025/2/20,--
2025/2/18,平和堂,8276,東証,信用新規売,15日, 特定 ,--,100,2378,--,--,2025/2/20,--
2025/2/19,オークワ,8217,東証,株式現物売,--, 特定 ,申告,100,772,--,--,2025/2/21,77200
2025/2/19,バロックジャパンリミテッド,3548,東証,株式現物買,--, 特定 ,--,100,771,--,--,2025/2/21,77100
2025/2/19,大庄,9979,東証,株式現物買,--, 特定 ,--,100,1090,--,--,2025/2/21,109000
2025/2/19,バロックジャパンリミテッド,3548,東証,信用新規売,15日, 特定 ,--,100,771,--,--,2025/2/21,--
2025/2/19,大庄,9979,東証,信用新規売,15日, 特定 ,--,100,1090,--,--,2025/2/21,--
2025/2/19,瑞光,6279,--,現渡,15日, 特定 ,申告,100,1309,27,--,2025/2/21,130873
2025/2/19,西松屋チェーン,7545,--,現渡,15日, 特定 ,申告,100,2269,193,--,2025/2/21,226707
2025/2/19,しまむら,8227,--,現渡,15日, 特定 ,申告,100,9142,195,--,2025/2/21,914005
2025/2/19,平和堂,8276,--,現渡,15日, 特定 ,申告,100,2378,50,--,2025/2/21,237750
2025/2/19,平和堂,8276,--,現渡,15日, 特定 ,申告,100,2378,50,--,2025/2/21,237750
2025/2/19,平和堂,8276,--,現渡,15日, 特定 ,申告,100,2378,50,--,2025/2/21,237750
2025/2/21,アダストリア,2685,東証,株式現物買,--, 特定 ,--,100,2988,--,--,2025/2/26,298800
2025/2/21,コメダホールディングス,3543,東証,株式現物買,--, 特定 ,--,100,2685,--,--,2025/2/26,268500
2025/2/21,イオンファンタジー,4343,東証,株式現物買,--, 特定 ,--,200,2959,--,--,2025/2/26,591800
2025/2/21,スギホールディングス,7649,東証,株式現物買,--, 特定 ,--,200,2741,--,--,2025/2/26,548200
2025/2/21,ミニストップ,9946,東証,株式現物買,--, 特定 ,--,100,1706,--,--,2025/2/26,170600
