銘柄名,銘柄コード,市場,弁済期限(いちにち),弁済期限(14日),弁済期限(無期限),売建可能数量[株],優待権利付き最終日,株主優待,特別空売り料[円],現在値[円],前日比[円],当日株価変動率[％],日中出来高増減率[％],ティック数,出来高[株],直近高値騰落率[％],貸借区分,逆日歩[円]
"日本トリム","6788","東証","○","-","○","4,200","03/29","有","0.00","4,510","-15","0.66 %","-","50","7,600","-2.06 %","貸借","0.20"
"コパ・コーポレーション","7689","東証","○","-","-","100","-","無","0.30","301","2","0.66 %","-","4","1,200","-4.14 %","信用","0.00"
"ＧＳＩクレオス","8101","東証","○","-","-","200","09/28","有","0.00","2,418","18","0.66 %","-","84","16,200","-0.69 %","貸借","0.00"
"インヴィンシブル投資法","8963","東証","○","-","-","454","12/28","有","0.00","60,800","600","0.66 %","-","1,335","31,687","-0.16 %","貸借","0.00"
"ハマキョウレックス","9037","東証","○","-","○","11,900","-","無","0.00","1,829","28","0.66 %","-","347","88,000","-0.75 %","貸借","0.00"
"建設技術研究所","9621","東証","○","-","○","5,100","-","無","0.00","2,889","11","0.66 %","-","188","37,000","-1.36 %","貸借","0.00"
"ＪＦＬＡホールディングス","3069","東証","○","-","-","0","-","無","0.00","153","0","0.65 %","-","22","59,600","-0.64 %","貸借","0.00"
"すららネット","3998","東証","○","-","-","0","12/28","有","0.00","308","0","0.65 %","-","13","4,200","-1.28 %","貸借","0.00"
"ライオン事務器","423A","東証","○","-","-","0","-","無","0.40","308","3","0.65 %","-","43","17,600","0.00 %","信用","0.00"
"ＭＸ日株高配ＳＭＡＲ５０","461A","東証","○","-","-","116","-","無","2.00","2,471","34","0.65 %","-","30","1,717","-0.44 %","信用","0.00"
"ケル","6919","東証","○","-","-","0","-","無","0.00","1,380","-7","0.65 %","-","30","7,500","-1.56 %","貸借","0.00"
"グッドパッチ","7351","東証","○","-","-","0","-","無","0.20","461","0","0.65 %","-","15","4,600","-0.43 %","信用","0.00"
"大和証券Ｇ本社","8601","東証","○","-","○","0","09/28","有","0.00","1,684.0","37.0","0.65 %","-","6,016","4,158,900","0.00 %","貸借","0.00"
"ＩＳオートメーション＆ロボット","2522","東証","○","-","-","86","-","無","6.00","9,023","-226","0.64 %","-","456","8,607","-4.43 %","貸借","0.00"
"コーセーアールイー","3246","東証","○","-","-","0","07/29","有","0.70","624","2","0.64 %","-","17","6,600","-0.16 %","信用","0.00"
"フジックス","3600","東証","○","-","-","100","-","無","1.30","1,721","11","0.64 %","-","11","1,400","-0.80 %","信用","0.00"
"ステムリム","4599","東証","○","-","-","4,800","-","無","0.10","313","3","0.64 %","-","297","209,300","-4.57 %","信用","0.00"
"秀英予備校","4678","東証","○","-","-","0","03/29","有","0.20","313","1","0.64 %","-","12","1,500","0.00 %","貸借","0.00"
"中山製鋼所","5408","東証","○","-","○","42,000","-","無","0.00","621","4","0.64 %","-","374","201,800","-0.48 %","貸借","0.00"
"オリエンタルチエン","6380","東証","○","-","-","0","-","無","3.10","4,700","5","0.64 %","-","7","800","-1.77 %","信用","0.00"
"オーイズミ","6428","東証","○","-","-","0","-","無","0.00","314","2","0.64 %","-","30","11,200","0.00 %","貸借","0.00"
"ＷＡＳＨハウス","6537","東証","○","-","-","200","-","無","0.90","314","0","0.64 %","-","35","18,300","-0.63 %","貸借","0.00"
"日本精機","7287","東証","○","-","-","1,500","-","無","0.00","2,496","5","0.64 %","-","526","113,600","-1.14 %","貸借","0.00"
"アールビバン","7523","東証","○","-","-","200","-","無","1.20","1,718","7","0.64 %","-","64","17,500","-7.08 %","貸借","0.00"
"遠藤製作所","7841","東証","○","-","-","0","-","無","0.40","1,090","0","0.64 %","-","76","17,100","-1.62 %","信用","0.00"
"西華産業","8061","東証","○","-","○","12,800","03/29","有","0.00","2,799","-6","0.64 %","-","733","173,800","-1.58 %","貸借","0.00"
"大垣共立銀行","8361","東証","○","-","-","1,700","09/28","有","0.00","7,850","170","0.64 %","-","440","147,300","-0.12 %","貸借","0.00"
"アイザワ証券グループ","8708","東証","○","-","○","6,400","-","無","0.00","1,554","18","0.64 %","-","351","86,900","-0.06 %","貸借","0.10"
"太平洋興発","8835","東証","○","-","-","0","-","無","0.00","785","0","0.64 %","-","115","32,200","-0.75 %","貸借","0.00"
"マイクロ波化学","9227","東証","○","-","-","1,600","-","無","2.60","938","-9","0.64 %","-","307","89,400","-2.59 %","貸借","0.05"
"中部飼料","2053","東証","○","-","-","800","09/28","有","0.00","1,891","26","0.63 %","-","238","49,600","-0.36 %","貸借","0.00"
"三洋貿易","3176","東証","○","-","○","42,800","-","無","0.00","793","14","0.63 %","-","284","79,900","-0.87 %","貸借","0.00"
"東武住販","3297","東証","○","-","-","0","11/26","有","1.60","1,114","4","0.63 %","-","18","3,100","-0.44 %","信用","0.00"
"高圧ガス","4097","東証","○","-","○","6,200","-","無","0.00","1,116","5","0.63 %","-","250","47,800","-0.62 %","貸借","0.00"
"くふうカンパニーＨＤ","4376","東証","○","-","-","0","09/28","有","0.20","158","1","0.63 %","-","14","3,800","0.00 %","信用","0.00"
"ＧＸＮＡＳ１００Ｄカバコ","563A","東証","○","-","-","16,543","-","無","0.00","1,107","-5","0.63 %","-","2,889","1,654,288","-2.46 %","貸借","0.00"
"ＧＸＳＰ先進国ＣＦ１００","564A","東証","○","-","-","14","-","無","1.00","1,106","12","0.63 %","-","21","667","-0.98 %","信用","0.00"
"ギフティグループ","590A","東証","○","-","-","3,600","-","無","0.70","1,107","67","0.63 %","-","904","358,400","-0.71 %","貸借","0.00"
"アイフィスジャパン","7833","東証","○","-","-","10,400","-","無","0.40","635","4","0.63 %","-","10","1,200","0.00 %","貸借","0.00"
"日本電計","9908","東証","○","-","-","300","-","無","0.60","2,697","49","0.63 %","-","53","12,700","0.00 %","信用","0.00"
"ＮＦＪＰＸ４００","1591","東証","○","-","-","5","-","無","0.00","36,850","190","0.62 %","-","40","453","-0.32 %","貸借","5.00"
"ＧＸレジデンシャル・Ｊリート","2097","東証","○","-","-","191","-","無","0.00","971","9","0.62 %","-","33","4,345","-0.41 %","貸借","0.00"
"ＳＴＯＸＸヘッジ有","2859","東証","○","-","-","9","-","無","0.00","3,225","61","0.62 %","-","23","319","0.00 %","貸借","0.00"
"神栄","3004","東証","○","-","-","0","-","無","0.00","2,238","14","0.62 %","-","16","2,500","-1.49 %","貸借","0.00"
"ＩＦＲＥＥＥＴＦＦＡＮＧ＋","316A","東証","○","-","-","0","-","無","0.00","2,558","2","0.62 %","-","728","220,855","-0.77 %","貸借","0.00"
"オープンドア","3926","東証","○","-","-","0","-","無","0.60","321","3","0.62 %","-","71","18,600","-1.23 %","信用","0.00"
"日本カーボン","5302","東証","○","-","○","13,000","-","無","0.00","4,860","35","0.62 %","-","374","89,500","-0.81 %","貸借","0.05"
"キャリアリンク","6070","東証","○","-","○","0","09/28","有","0.00","2,249","14","0.62 %","-","147","25,700","-0.61 %","貸借","0.00"
"アイホン","6718","東証","○","-","○","10,100","-","無","0.00","2,758","17","0.62 %","-","139","28,900","-0.43 %","貸借","0.00"
"みずほフィナンシャルＧ","8411","東証","○","-","○","167,200","-","無","0.00","8,078","105","0.62 %","-","17,803","6,936,500","-0.09 %","貸借","0.00"
"日本ビルファンド","8951","東証","○","-","-","427","-","無","0.00","128,300","1,400","0.62 %","-","3,745","35,115","-1.30 %","貸借","5.00"
"ＲＯＢＯＴＨＯＭＥ","1435","東証","○","-","-","6,200","-","無","0.10","164","3","0.61 %","-","186","306,000","-0.60 %","信用","0.00"
"ＮＦ外株ヘッジ無","2513","東証","○","-","-","1,053","-","無","3.00","3,595","14","0.61 %","-","136","105,277","-4.13 %","貸借","0.00"
"アンビションＤＸホールデ","3300","東証","○","-","-","1,600","-","無","0.90","2,113","13","0.61 %","-","154","30,600","-1.26 %","信用","0.00"
"ウルトラファブリックスＨＤ","4235","東証","○","-","-","500","-","無","0.30","654","4","0.61 %","-","40","10,500","-0.90 %","信用","0.00"
"三洋化成","4471","東証","○","-","○","4,300","-","無","0.00","4,920","30","0.61 %","-","176","35,600","-0.60 %","貸借","0.00"
"トレンダーズ","6069","東証","○","-","-","500","-","無","0.00","659","3","0.61 %","-","98","32,200","-0.30 %","貸借","0.00"
"タカヨシホールディングス","9259","東証","○","-","-","0","-","無","0.40","813","3","0.61 %","-","36","6,000","0.00 %","信用","0.00"
"エフオン","9514","東証","○","-","-","3,100","-","無","0.10","325","3","0.61 %","-","157","150,200","-1.21 %","信用","0.00"
"トヨタ紡織","3116","東証","○","-","○","7,200","-","無","0.00","2,248.5","39.0","0.60 %","-","3,096","773,600","-1.16 %","貸借","0.00"
"コムチュア","3844","東証","○","-","-","2,200","09/28","有","0.00","1,335","13","0.60 %","-","444","158,300","-0.29 %","貸借","0.00"
"ＧＸ中国テック１０","404A","東証","○","-","-","62","-","無","1.00","1,336","2","0.60 %","-","53","3,067","-8.49 %","信用","0.00"
"ニチリン","5184","東証","○","-","-","200","12/28","有","0.00","4,130","25","0.60 %","-","74","13,900","-0.24 %","貸借","0.00"
"巴工業","6309","東証","○","-","○","27,200","10/28","有","0.10","1,828","16","0.60 %","-","327","81,600","-0.32 %","信用","0.00"
"ポプラ","7601","東証","○","-","-","0","02/24","有","0.10","165","1","0.60 %","-","10","2,500","-0.60 %","信用","0.00"
"ナカニシ","7716","東証","○","-","○","9,200","-","無","0.00","3,005","28","0.60 %","-","535","150,900","-0.49 %","貸借","0.00"
"七十七銀行","8341","東証","○","-","-","5,700","09/28","有","0.00","3,519.0","72.0","0.60 %","-","1,608","485,400","-0.19 %","貸借","0.00"
"イオンフィナンシャルサービス","8570","東証","○","-","○","53,500","-","無","0.00","1,507.0","25.5","0.60 %","-","1,257","497,000","-0.49 %","貸借","0.00"
"エスリード","8877","東証","○","-","○","7,800","03/29","有","0.00","5,000","85","0.60 %","-","164","31,700","-0.39 %","貸借","0.00"
"ＡＶＡＮＴＩＡ","8904","東証","○","-","-","0","08/27","有","0.70","835","8","0.60 %","-","35","8,400","0.00 %","貸借","0.00"
"東陽倉庫","9306","東証","○","-","-","200","09/28","有","1.00","2,000","-7","0.60 %","-","69","17,700","-0.59 %","貸借","0.00"
"エアークローゼット","9557","東証","○","-","-","500","12/28","有","0.20","166","-6","0.60 %","-","52","16,700","-7.26 %","信用","0.00"
"蔵王産業","9986","東証","○","-","-","0","-","無","0.10","2,477","17","0.60 %","-","18","2,800","-0.24 %","信用","0.00"
"大成温調","1904","東証","○","-","-","0","09/28","有","4.60","5,080","50","0.59 %","-","42","7,900","-1.16 %","貸借","0.00"
"日本基礎技術","1914","東証","○","-","-","200","-","無","0.00","679","4","0.59 %","-","49","12,200","-0.58 %","貸借","0.00"
"オートウェーブ","2666","東証","○","-","-","2,300","-","無","0.10","168","0","0.59 %","-","38","92,700","-0.59 %","信用","0.00"
"横浜冷凍","2874","東証","○","-","-","1,800","09/28","有","0.00","2,045","15","0.59 %","-","613","151,200","-1.87 %","貸借","0.10"
"日本食品化工","2892","東証","○","-","-","0","-","無","1.10","4,210","25","0.59 %","-","21","3,300","-0.82 %","信用","0.00"
"ＡＦＣ－ＨＤアムスライフサイエン","2927","東証","○","-","-","0","08/27","有","0.10","852","4","0.59 %","-","41","14,300","-0.69 %","信用","0.00"
"丸千代山岡家","3399","東証","○","-","-","800","07/29","有","5.30","3,365","90","0.59 %","-","317","79,100","-1.17 %","貸借","0.00"
"ハイマックス","4299","東証","○","-","-","0","03/29","有","0.00","1,182","0","0.59 %","-","40","7,000","-2.31 %","貸借","0.00"
"杏林製薬","4569","東証","○","-","○","19,000","-","無","0.00","1,178","12","0.59 %","-","440","150,000","-1.58 %","貸借","0.05"
"ホッカンホールディングス","5902","東証","○","-","-","200","09/28","有","0.00","2,374","14","0.59 %","-","60","10,700","-0.58 %","貸借","0.00"
"ジャノメ","6445","東証","○","-","○","13,600","-","無","0.00","1,353","-3","0.59 %","-","129","36,800","-0.80 %","貸借","0.00"
"ＮＯＫ","7240","東証","○","-","○","19,800","-","無","0.00","2,953.0","-5.5","0.59 %","-","1,036","250,300","-0.30 %","貸借","0.15"
"ダイイチ","7643","東証","○","-","-","0","09/28","有","1.70","1,700","5","0.59 %","-","8","2,000","0.00 %","信用","0.00"
"立川ブラインド","7989","東証","○","-","○","9,900","12/28","有","0.00","2,540","20","0.59 %","-","163","30,800","-0.31 %","貸借","0.15"
"ＳＭＤＡＭ日本高配当","2011","東証","○","-","-","840","-","無","0.70","824.8","12.4","0.58 %","-","34","83,390","0.00 %","貸借","0.00"
"ＮＦ外ＲＥＩＴへ無","2515","東証","○","-","-","231","-","無","0.00","1,733","7","0.58 %","-","100","16,685","-0.11 %","貸借","0.00"
"東和フードサービス","3329","東証","○","-","-","0","10/28","有","1.30","2,072","11","0.58 %","-","23","3,200","-0.28 %","貸借","0.05"
"ミルボン","4919","東証","○","-","○","15,200","12/28","有","0.00","2,764","4","0.58 %","-","750","164,900","-1.84 %","貸借","0.00"
"オーエムツーネットワーク","7614","東証","○","-","-","0","07/29","有","0.90","1,554","8","0.58 %","-","13","2,400","0.00 %","信用","0.00"
"オーウエル","7670","東証","○","-","-","100","09/28","有","0.80","1,034","6","0.58 %","-","7","1,100","0.00 %","信用","0.00"
"東天紅","8181","東証","○","-","-","0","08/27","有","0.50","1,030","3","0.58 %","-","7","1,100","-0.96 %","信用","0.00"
"イチネンホールディングス","9619","東証","○","-","○","13,200","-","無","0.00","2,223","17","0.58 %","-","102","19,300","-1.37 %","貸借","0.00"
"白洋舎","9731","東証","○","-","-","0","12/28","有","3.10","3,455","20","0.58 %","-","7","1,000","0.00 %","信用","0.00"
"マミーマートＨＤ","9823","東証","○","-","-","0","09/28","有","0.30","1,030","6","0.58 %","-","280","75,400","-0.77 %","信用","0.00"
"ＴＡＮＡＫＥＮ","1450","東証","○","-","-","100","-","無","0.50","1,405","36","0.57 %","-","10","2,200","-0.28 %","信用","0.00"
"ＮＦＤＡＸヘッジ無","487A","東証","○","-","-","8","-","無","2.00","2,090","62","0.57 %","-","22","400","0.00 %","信用","0.00"
"エクストリーム","6033","東証","○","-","-","0","-","無","0.00","1,402","2","0.57 %","-","11","2,400","-0.84 %","貸借","0.00"
"ＣＲＧホールディングス","7041","東証","○","-","-","1,100","09/28","有","0.20","352","1","0.57 %","-","112","43,200","0.00 %","信用","0.00"
"イーディーピー","7794","東証","○","-","-","12,400","-","無","2.60","1,229","7","0.57 %","-","981","279,000","-1.75 %","信用","0.00"
"椿本興業","8052","東証","○","-","-","400","09/28","有","0.00","2,796","35","0.57 %","-","208","32,800","-0.42 %","貸借","0.00"
"福島銀行","8562","東証","○","-","-","2,800","03/29","有","0.30","347","6","0.57 %","-","246","275,400","-0.85 %","貸借","0.00"
"アソインターナショナル","9340","東証","○","-","-","0","-","無","0.50","697","5","0.57 %","-","11","4,100","0.00 %","信用","0.00"
"三協フロンテア","9639","東証","○","-","-","200","09/28","有","0.10","2,289","-3","0.57 %","-","17","2,500","-0.26 %","信用","0.00"
"キャンディル","1446","東証","○","-","-","0","03/29","有","0.60","530","2","0.56 %","-","23","4,500","-0.18 %","貸借","0.05"
"ＧＸ革新優良企業","178A","東証","○","-","-","526","-","無","1.00","1,601","4","0.56 %","-","61","2,184","-0.68 %","貸借","0.00"
"ＩＦ米国債７１０Ｈ有","2016","東証","○","-","-","212","-","無","2.00","1,790","2","0.56 %","-","5","196","-0.61 %","貸借","0.00"
"アイ・ケイ・ケイホールディンク","2198","東証","○","-","-","0","10/28","有","1.10","713","8","0.56 %","-","289","131,600","-0.83 %","貸借","0.05"
"ＮＦナスダックヘッジ有","2845","東証","○","-","-","161","-","無","2.00","3,579","-6","0.56 %","-","96","10,993","-1.97 %","貸借","0.00"
"わらべや日洋ＨＤ","2918","東証","○","-","○","1,400","-","無","0.00","2,665","51","0.56 %","-","283","67,800","-0.26 %","貸借","0.00"
"ツクルバ","2978","東証","○","-","-","200","-","無","0.20","353","2","0.56 %","-","15","2,100","-0.84 %","信用","0.00"
"ファブリカホールディングス","4193","東証","○","-","-","100","09/28","有","0.90","2,316","16","0.56 %","-","11","1,900","0.00 %","信用","0.00"
"日本ゼオン","4205","東証","○","-","○","36,900","-","無","0.00","2,307.0","14.0","0.56 %","-","2,281","620,000","-2.53 %","貸借","0.00"
"タカギセイコー","4242","東証","○","-","-","4,200","-","無","1.70","1,780","10","0.56 %","-","6","600","0.00 %","貸借","0.00"
"ＨＥＲＯＺ","4382","東証","○","-","-","500","10/28","有","0.60","717","4","0.56 %","-","116","33,500","-2.04 %","貸借","0.05"
"ＩＤＯＭ","7599","東証","○","-","○","0","08/27","有","0.00","1,429","11","0.56 %","-","1,159","611,000","-1.03 %","貸借","0.00"
"シーラホールディングス","8887","東証","○","-","-","0","05/27","有","0.00","358","3","0.56 %","-","55","44,800","-0.27 %","貸借","0.00"
"東京インフラ・エネルギー","9285","東証","○","-","-","25","-","無","2.00","44,450","350","0.56 %","-","82","214","-1.44 %","信用","0.00"
"東洋テック","9686","東証","○","-","-","100","03/29","有","1.10","1,615","2","0.56 %","-","11","2,200","-2.12 %","信用","0.00"
"北沢産業","9930","東証","○","-","-","0","-","無","0.00","356","1","0.56 %","-","5","1,400","-0.55 %","貸借","0.00"
"ＧＸロジＪリートＥＴＦ","2565","東証","○","-","-","94","-","無","1.00","906","7","0.55 %","-","148","5,689","-0.54 %","貸借","0.00"
"丸善ＣＨＩＨＤ","3159","東証","○","-","-","800","07/29","有","0.30","362","2","0.55 %","-","117","78,900","-0.54 %","貸借","0.00"
"ＳＢＩリーシングサービス","5834","東証","○","-","-","600","03/29","有","2.20","2,697","23","0.55 %","-","197","35,100","-0.33 %","貸借","0.00"
"エノモト","6928","東証","○","-","-","800","-","無","0.20","2,911","-10","0.55 %","-","279","40,300","-6.39 %","信用","0.00"
"アイシン","7259","東証","○","-","○","55,200","-","無","0.00","2,282.5","30.0","0.55 %","-","4,549","1,522,100","-0.41 %","貸借","0.00"
"アドヴァングループ","7463","東証","○","-","○","14,700","03/29","有","0.00","908","5","0.55 %","-","90","24,500","-1.19 %","貸借","0.05"
"ＮＦナスダックヘッジ無","1545","東証","○","-","-","48,550","-","無","0.00","241.3","-2.2","0.54 %","-","2,769","4,854,870","-3.20 %","貸借","0.00"
"カワサキ","3045","東証","○","-","-","2,500","08/27","有","1.30","1,473","6","0.54 %","-","5","800","-1.14 %","信用","0.00"
"スターアジア不動産投","3468","東証","○","-","-","68","-","無","0.00","55,700","600","0.54 %","-","577","6,755","-0.71 %","貸借","0.00"
"アクシス","4012","東証","○","-","-","0","-","無","1.00","1,674","23","0.54 %","-","29","10,000","-0.35 %","貸借","0.00"
"クリエートメディック","5187","東証","○","-","-","200","-","無","0.10","1,117","15","0.54 %","-","49","8,100","-0.17 %","信用","0.00"
"伯東","7433","東証","○","-","○","9,900","-","無","0.00","4,635","-15","0.54 %","-","221","48,400","-1.59 %","貸借","0.00"
"愛媛銀行","8541","東証","○","-","○","22,100","03/29","有","0.00","2,210","7","0.54 %","-","784","176,400","-0.31 %","貸借","0.00"
"ファースト住建","8917","東証","○","-","-","0","10/28","有","0.70","1,102","13","0.54 %","-","95","16,400","-0.45 %","貸借","0.00"
"アクシスコンサルティング","9344","東証","○","-","-","100","12/28","有","0.70","930","0","0.54 %","-","10","1,100","-0.10 %","信用","0.00"
"上場ＪＰＸ日経４００","1592","東証","○","-","-","0","-","無","2.00","3,408","31","0.53 %","-","123","25,337","-0.29 %","貸借","0.00"
"ＯＮＥリート投資法人","3290","東証","○","-","-","41","-","無","0.00","75,000","500","0.53 %","-","552","4,035","-0.92 %","貸借","0.00"
"日創グループ","3440","東証","○","-","-","0","-","無","0.10","931","1","0.53 %","-","32","6,600","-0.32 %","信用","0.00"
"大阪ソーダ","4046","東証","○","-","○","19,900","-","無","0.00","1,878","14","0.53 %","-","910","303,200","-0.63 %","貸借","0.00"
"ヤマウホールディングス","5284","東証","○","-","-","0","-","無","0.90","2,258","12","0.53 %","-","13","1,900","-0.52 %","信用","0.00"
"ビーアンドピー","7804","東証","○","-","-","0","10/28","有","0.50","2,250","12","0.53 %","-","6","1,500","-0.04 %","信用","0.00"
"日本アイ・エス・ケイ","7986","東証","○","-","-","0","-","無","1.00","1,881","12","0.53 %","-","6","800","-0.89 %","信用","0.00"
"兼松","8020","東証","○","-","○","163,300","-","無","0.00","2,085.5","25.5","0.53 %","-","953","303,500","-0.33 %","貸借","0.00"
"内田洋行","8057","東証","○","-","○","12,900","-","無","0.00","2,058","36","0.53 %","-","562","234,600","-0.91 %","貸借","0.00"
"新日本空調","1952","東証","○","-","○","0","09/28","有","0.00","3,800","20","0.52 %","-","413","119,700","-1.55 %","貸借","0.00"
"ＩＳ米国高配当株","2013","東証","○","-","-","1,870","-","無","0.00","304.7","3.8","0.52 %","-","159","186,410","-0.13 %","貸借","0.00"
"オルバヘルスケアＨＬＤＧＳ","2689","東証","○","-","-","200","12/28","有","0.00","1,903","16","0.52 %","-","33","5,300","-0.10 %","貸借","0.10"
"ピエトロ","2818","東証","○","-","-","0","09/28","有","1.10","1,739","4","0.52 %","-","16","2,000","-0.05 %","貸借","0.05"
"ロードスターキャピタル","3482","東証","○","-","○","4,700","12/28","有","0.00","2,660","36","0.52 %","-","728","171,800","-1.04 %","貸借","0.00"
"ＩＧＳ","4265","東証","○","-","-","24,400","-","無","0.90","382","-13","0.52 %","-","1,301","629,000","-12.98 %","信用","0.00"
"チームスピリット","4397","東証","○","-","-","1,000","08/27","有","0.10","382","6","0.52 %","-","123","49,400","-1.03 %","信用","0.00"
"シグマクシス・ホールディンク","6088","東証","○","-","○","94,100","-","無","0.00","572","15","0.52 %","-","719","510,700","-0.86 %","貸借","0.00"
"ＫＬＡＳＳ","6233","東証","○","-","-","100","-","無","0.30","385","1","0.52 %","-","8","1,300","0.00 %","信用","0.00"
"マーキュリアホールディングス","7347","東証","○","-","-","0","12/28","有","0.50","762","1","0.52 %","-","39","7,200","-0.13 %","貸借","0.00"
"オーバル","7727","東証","○","-","-","800","-","無","0.00","770","6","0.52 %","-","232","81,000","-1.28 %","貸借","0.00"
"三光合成","7888","東証","○","-","○","36,100","-","無","0.00","764","4","0.52 %","-","231","113,200","-0.65 %","貸借","0.00"
"三栄コーポレーシヨン","8119","東証","○","-","-","0","09/28","有","0.60","765","7","0.52 %","-","16","2,900","-0.13 %","信用","0.00"
"東海東京ＨＤ","8616","東証","○","-","-","7,200","09/28","有","0.00","766","8","0.52 %","-","412","432,400","-0.64 %","貸借","0.00"
"フジ住宅","8860","東証","○","-","-","900","09/28","有","0.00","761","4","0.52 %","-","246","86,600","-0.52 %","貸借","0.00"
"平和不動産リート","8966","東証","○","-","-","51","-","無","0.00","135,000","1,000","0.52 %","-","687","5,027","-0.51 %","貸借","0.00"
"福山通運","9075","東証","○","-","○","1,800","-","無","0.00","5,710","70","0.52 %","-","321","109,300","-1.38 %","貸借","0.10"
"ブリッジコンサルティング","9225","東証","○","-","-","100","-","無","0.90","955","5","0.52 %","-","16","2,300","-0.83 %","信用","0.00"
"東海リース","9761","東証","○","-","-","100","-","無","0.40","2,312","12","0.52 %","-","28","5,500","0.00 %","信用","0.00"
"マキヤ","9890","東証","○","-","-","300","09/28","有","0.30","1,342","14","0.52 %","-","49","7,100","-1.32 %","信用","0.00"
"ウィル","3241","東証","○","-","-","25,200","-","無","0.40","580","2","0.51 %","-","9","1,200","-1.69 %","貸借","0.00"
"クロス・マーケティングＧ","3675","東証","○","-","-","300","-","無","0.00","590","7","0.51 %","-","38","10,700","-0.50 %","貸借","0.00"
"クラウドワークス","3900","東証","○","-","-","500","-","無","0.50","590","-5","0.51 %","-","143","36,100","-2.47 %","貸借","0.05"
"ショーケース","3909","東証","○","-","-","200","-","無","0.10","194","1","0.51 %","-","18","3,600","-2.51 %","信用","0.00"
"クリップコーポレーション","4705","東証","○","-","-","0","-","無","0.30","778","9","0.51 %","-","4","1,300","-0.63 %","信用","0.00"
"リブ・コンサルティング","480A","東証","○","-","-","0","-","無","0.90","980","13","0.51 %","-","38","6,400","-1.50 %","信用","0.00"
"ケミプロ化成","4960","東証","○","-","-","500","-","無","2.30","581","-7","0.51 %","-","138","51,500","-3.16 %","貸借","0.00"
"ユシロ","5013","東証","○","-","○","1,200","-","無","0.00","2,948","15","0.51 %","-","204","31,700","-0.90 %","貸借","0.15"
"上場日経銀行株１０","540A","東証","○","-","-","896","-","無","1.00","1,950","23","0.51 %","-","310","30,883","0.00 %","信用","0.00"
"北越メタル","5446","東証","○","-","-","0","03/29","有","0.50","1,170","-5","0.51 %","-","6","600","-0.42 %","信用","0.00"
"アイダエンジニア","6118","東証","○","-","○","8,100","-","無","0.00","1,176","10","0.51 %","-","553","224,400","-0.33 %","貸借","0.00"
"小田原エンジニアリング","6149","東証","○","-","-","200","-","無","0.80","2,155","11","0.51 %","-","40","6,100","-0.23 %","信用","0.00"
"ＳＭＮ","6185","東証","○","-","-","0","03/29","有","0.00","390","2","0.51 %","-","20","5,300","-0.76 %","貸借","0.00"
"ヤマトインタ－ナシヨナル","8127","東証","○","-","-","100","08/27","有","0.50","589","1","0.51 %","-","31","9,600","0.00 %","貸借","0.05"
"高田工業所","1966","東証","○","-","-","100","-","無","0.00","1,774","27","0.50 %","-","10","2,300","-0.05 %","貸借","0.05"
"上場Ｓ＆Ｐレバ２倍","2239","東証","○","-","-","10","-","無","0.00","25,870","165","0.50 %","-","26","371","-1.80 %","貸借","0.00"
"ハニーズホールディングス","2792","東証","○","-","○","2,500","11/26","有","0.00","1,407","12","0.50 %","-","238","67,000","-0.91 %","貸借","0.00"
"和弘食品","2813","東証","○","-","-","100","03/29","有","0.70","4,020","20","0.50 %","-","5","500","0.00 %","信用","0.00"
"ホームポジション","2999","東証","○","-","-","300","08/27","有","0.30","603","4","0.50 %","-","37","14,200","-0.82 %","信用","0.00"
"エストラスト","3280","東証","○","-","-","0","-","無","0.00","992","5","0.50 %","-","11","5,000","-0.10 %","貸借","0.00"
"フライングガーデン","3317","東証","○","-","-","100","03/29","有","1.20","1,400","26","0.50 %","-","11","1,500","0.00 %","信用","0.00"
"ダイキョーニシカワ","4246","東証","○","-","○","9,200","-","無","0.00","1,005","3","0.50 %","-","483","188,700","-0.98 %","貸借","0.00"
"極東開発工業","7226","東証","○","-","○","34,000","-","無","0.00","2,189","30","0.50 %","-","548","165,600","-0.27 %","貸借","0.00"
"エステールホールディングス","7872","東証","○","-","-","0","09/28","有","0.30","601","3","0.50 %","-","17","6,800","-0.33 %","信用","0.00"
"象印マホービン","7965","東証","○","-","○","21,700","11/18","有","0.00","1,386","19","0.50 %","-","685","275,200","-1.14 %","貸借","0.00"
"アサガミ","9311","東証","○","-","-","400","-","無","4.60","7,930","0","0.50 %","-","3","300","0.00 %","信用","0.00"
"広島ガス","9535","東証","○","-","-","1,100","09/28","有","0.00","398","4","0.50 %","-","165","107,900","-0.99 %","貸借","0.05"
"モリト","9837","東証","○","-","○","19,200","-","無","0.00","1,797","12","0.50 %","-","216","44,100","-0.16 %","貸借","0.00"
"ＷＩＬＬＳＭＡＲＴ","175A","東証","○","-","-","0","-","無","0.60","606","11","0.49 %","-","16","2,400","0.00 %","信用","0.00"
"Ｂ－Ｒサーティワンアイス","2268","東証","○","-","-","0","12/28","有","2.40","4,080","20","0.49 %","-","35","6,500","-0.12 %","信用","0.00"
"ＮＦ株主還元７０","2529","東証","○","-","-","0","-","無","2.00","2,230","25","0.49 %","-","97","9,491","-0.49 %","貸借","0.00"
"ランシステム","3326","東証","○","-","-","0","09/28","有","0.50","606","0","0.49 %","-","13","2,400","-0.81 %","信用","0.00"
"ファーストブラザーズ","3454","東証","○","-","-","0","11/26","有","0.00","1,212","-1","0.49 %","-","4","600","-0.65 %","貸借","0.00"
